borough,neighborhood,sqft,bedrooms,bathrooms,floor,age,has_garage,has_elevator,has_doorman,subway_dist,price
Manhattan,Harlem,434,1,3,3,32,1,0,0,0.3,1355304
Manhattan,SoHo,1398,5,1,16,31,0,1,0,1.38,1562842
Manhattan,Financial District,1732,1,4,20,55,0,1,1,2.23,2065759
Manhattan,Upper East Side,2985,3,3,32,23,1,0,0,1.34,2063820
Bronx,Pelham Bay,3197,2,4,23,90,1,0,0,1.87,2009525
Queens,Astoria,1437,3,2,17,3,1,1,1,0.82,1078954
Queens,Astoria,773,2,4,16,87,0,0,1,1.18,1110882
Manhattan,Chelsea,3004,1,3,38,22,0,1,1,0.88,3105163
Queens,Long Island City,1851,5,1,8,28,1,1,0,0.36,1571926
Queens,Jamaica,2151,5,4,19,97,1,1,1,1.1,1904709
Manhattan,SoHo,2680,0,4,30,20,1,0,1,1.93,2723869
Queens,Forest Hills,1104,5,3,34,29,0,1,0,1.05,1406061
Staten Island,St. George,962,4,1,14,89,1,1,0,1.66,997815
Brooklyn,DUMBO,3386,1,1,22,19,0,0,1,1.92,1793650
Brooklyn,Bay Ridge,3334,0,2,44,15,0,1,0,0.87,2138794
Manhattan,Financial District,3173,5,2,17,66,0,1,1,2.01,3305313
Bronx,Mott Haven,2273,1,3,15,48,0,1,0,0.91,1149847
Manhattan,Chelsea,2523,3,1,48,57,1,0,1,0.71,2744907
Bronx,Fordham,838,5,1,32,43,1,1,0,0.63,1039001
Brooklyn,Williamsburg,2283,2,2,13,24,1,0,0,0.58,1750347
Manhattan,Chelsea,2379,1,2,21,22,0,0,0,1.87,2436592
Staten Island,Stapleton,1098,0,3,49,58,1,1,1,2.23,1154342
Queens,Long Island City,1712,3,1,40,0,0,1,1,0.65,1592489
Bronx,Norwood,3362,4,4,33,96,0,0,1,0.3,1294411
Queens,Long Island City,1963,3,2,27,14,0,1,0,0.85,1672832
Queens,Jamaica,3338,5,3,35,80,1,1,0,1.68,2695298
Manhattan,Harlem,1091,2,1,16,97,0,0,0,0.98,1696873
Queens,Jamaica,2700,3,1,28,80,0,1,1,1.42,1338769
Staten Island,Stapleton,1600,4,2,34,51,1,1,0,1.89,1116268
Queens,Flushing,2857,0,3,47,57,1,0,1,1.08,2405158
Manhattan,Chelsea,2034,1,4,1,40,1,1,1,2.5,1698259
Staten Island,Great Kills,2033,2,2,41,43,0,0,1,0.82,1289779
Brooklyn,Park Slope,526,4,3,48,3,0,0,1,2.45,1304111
Queens,Astoria,1906,5,1,31,76,1,1,1,0.59,1411445
Manhattan,Chelsea,1591,5,4,36,67,0,0,0,0.37,1951628
Brooklyn,Bay Ridge,3039,5,3,44,6,0,1,0,1.9,1826117
Brooklyn,Bushwick,693,2,4,33,45,1,1,0,1.79,1230761
Bronx,Mott Haven,1766,3,3,33,8,1,0,0,2.05,1136231
Staten Island,Tottenville,1419,2,3,39,86,1,0,0,0.92,858124
Queens,Jamaica,2757,5,3,18,32,1,0,0,2.33,1884725
Manhattan,Financial District,3109,4,3,23,32,1,0,1,0.39,3032080
Bronx,South Bronx,2975,1,4,23,83,1,0,0,0.17,1833919
Staten Island,St. George,2987,1,2,15,3,1,0,1,0.82,1299208
Bronx,Pelham Bay,818,2,4,26,64,1,1,1,2.01,629036
Staten Island,New Dorp,843,5,3,30,33,0,1,1,1.72,942903
Staten Island,Great Kills,1084,0,4,25,90,0,0,1,1.15,967523
Queens,Long Island City,3287,2,4,45,84,0,1,1,0.72,1843172
Staten Island,Stapleton,2683,5,4,16,87,0,0,0,0.24,1370696
Bronx,South Bronx,1862,3,3,39,78,0,0,0,0.91,1459574
Staten Island,Tottenville,2661,1,4,48,98,0,1,0,1.2,1860886
Queens,Jamaica,484,1,1,45,63,0,1,1,1.75,775758
Queens,Long Island City,3241,1,3,14,24,0,0,0,1.65,1540784
Bronx,Fordham,2167,0,4,17,54,0,0,0,2.37,956545
Brooklyn,Flatbush,484,5,1,12,8,0,0,1,0.34,1130622
Brooklyn,Bushwick,2344,5,4,29,16,0,1,1,0.91,1724567
Staten Island,Stapleton,2512,5,2,32,20,1,0,0,1.26,2173228
Manhattan,SoHo,2069,5,4,24,59,0,0,1,1.71,1659355
Staten Island,St. George,1062,0,4,13,12,1,1,1,1.29,1080282
Bronx,Riverdale,1026,4,2,20,2,0,1,1,2.29,998487
Bronx,South Bronx,463,2,3,15,67,1,1,0,1.56,496545
Bronx,Mott Haven,3386,2,2,4,3,0,0,1,0.2,2302630
Bronx,Mott Haven,1318,5,3,34,91,1,0,1,0.37,1195752
Bronx,Pelham Bay,1775,3,2,28,6,0,1,1,1.91,1633036
Queens,Long Island City,1581,1,4,2,25,1,0,1,1.82,1087202
Brooklyn,Williamsburg,2012,0,4,47,74,0,0,1,0.47,1289737
Bronx,Mott Haven,890,3,3,30,23,1,1,0,0.24,775308
Manhattan,Financial District,2278,3,3,26,9,0,1,0,1.49,2149370
Manhattan,SoHo,2340,5,1,47,12,1,0,1,1.63,2272747
Manhattan,Harlem,712,0,1,26,43,1,1,1,0.42,1562580
Manhattan,Harlem,3062,2,4,20,38,1,1,0,1.24,2321369
Queens,Long Island City,1318,1,4,42,18,1,0,0,0.83,1594729
Manhattan,Upper East Side,2282,2,1,28,50,1,0,1,2.34,2187130
Bronx,South Bronx,1212,3,1,20,18,1,0,1,0.63,1049667
Staten Island,Annadale,3387,1,3,11,75,1,0,0,1.86,1563441
Manhattan,Chelsea,1889,4,2,10,51,1,0,1,1.34,1756366
Queens,Forest Hills,1726,3,3,23,85,0,0,1,0.13,1433418
Queens,Jackson Heights,1079,2,1,37,46,0,1,0,1.34,1019338
Manhattan,Chelsea,834,2,4,41,29,0,1,0,0.34,1842448
Staten Island,Annadale,1081,5,1,19,45,1,1,0,1.68,1057750
Manhattan,Harlem,1558,2,4,45,75,1,0,0,1.46,1968950
Queens,Forest Hills,1473,0,4,18,92,0,0,1,0.13,1188900
Brooklyn,DUMBO,1855,3,4,49,20,0,0,1,0.59,1486761
Bronx,Fordham,2787,1,4,27,74,1,0,1,1.96,1665754
Queens,Forest Hills,2794,2,2,6,47,1,0,1,0.76,1210112
Manhattan,Midtown,3093,5,1,10,61,0,1,0,1.3,2467200
Bronx,Norwood,1770,5,3,2,57,1,0,0,0.85,896955
Manhattan,Upper East Side,1048,2,4,24,17,0,1,1,2.31,1705499
Manhattan,Financial District,644,0,4,38,58,1,0,1,1.39,1511269
Brooklyn,Bay Ridge,2556,5,3,28,90,0,1,1,1.77,2398705
Bronx,Fordham,2980,1,3,28,47,0,1,0,0.3,1633265
Bronx,South Bronx,695,3,4,45,62,1,1,0,0.2,1181571
Brooklyn,Flatbush,2559,4,3,39,11,0,1,0,0.72,1559764
Queens,Flushing,2012,0,3,2,86,1,1,1,0.84,1481656
Manhattan,Financial District,2790,5,2,46,33,1,1,1,1.75,2351643
Staten Island,Tottenville,2548,3,3,5,60,1,1,1,1.47,1593266
Manhattan,Financial District,3076,4,1,11,86,1,0,0,1.0,3000177
Manhattan,SoHo,2027,2,1,10,52,1,0,1,1.67,2380378
Queens,Flushing,427,2,1,43,24,0,1,0,0.49,896346
Manhattan,Financial District,3384,1,4,2,61,1,0,1,0.25,3120538
Brooklyn,Bay Ridge,2385,4,1,15,3,1,0,1,2.15,1984932
Brooklyn,Flatbush,1960,2,2,39,93,0,1,0,1.45,1878004
Bronx,Fordham,457,2,1,41,93,1,0,0,1.66,619752
Staten Island,Annadale,1921,5,4,37,12,0,1,1,0.84,1828684
Manhattan,Harlem,696,1,2,7,41,1,0,0,0.99,1639987
Manhattan,Harlem,2581,3,1,20,48,0,1,0,0.3,1942785
Queens,Astoria,2696,2,2,34,77,1,0,0,2.16,1547198
Brooklyn,Flatbush,3468,0,2,35,55,1,1,0,1.52,1751272
Staten Island,Stapleton,2997,0,4,34,46,1,0,0,0.3,1992605
Bronx,Fordham,1301,3,4,22,7,1,0,1,2.03,1194590
Brooklyn,Flatbush,2364,4,2,31,54,1,0,1,1.17,2168112
Bronx,Mott Haven,1498,1,1,23,87,0,1,1,1.94,1043101
Queens,Jackson Heights,2077,5,4,19,17,0,1,1,0.13,1611837
Queens,Jamaica,3281,0,2,4,34,1,0,0,0.17,1406859
Manhattan,Upper East Side,1591,0,3,24,88,0,0,1,0.51,1664242
Staten Island,Tottenville,1170,3,3,20,80,1,1,0,0.61,1106634
Bronx,South Bronx,1926,4,4,39,31,1,0,1,1.93,1067014
Brooklyn,Bushwick,1778,4,1,28,23,1,0,1,1.8,1417352
Queens,Long Island City,1648,3,3,39,6,0,1,0,1.58,1533134
Manhattan,Harlem,1954,0,3,17,12,1,1,1,2.22,1680431
Manhattan,Midtown,545,1,3,19,90,0,0,1,0.69,1286227
Bronx,Pelham Bay,2383,0,1,48,68,1,1,1,2.27,1232255
Queens,Long Island City,1664,4,1,35,99,1,0,1,2.28,1606657
Staten Island,St. George,2307,5,4,32,89,0,0,1,1.14,1088608
Queens,Astoria,3340,0,4,47,41,1,1,1,0.33,2593854
Bronx,Fordham,2791,1,3,46,30,0,0,1,1.84,1193330
Bronx,Fordham,2172,2,1,47,73,1,1,0,0.91,1664081
Queens,Jamaica,1458,0,2,46,25,1,1,1,2.01,1402356
Bronx,Norwood,3149,3,3,39,85,1,0,1,0.49,2347337
Queens,Jamaica,2448,2,4,35,75,0,1,1,1.39,2179088
Brooklyn,Flatbush,2419,3,1,30,31,1,0,1,1.32,2035597
Queens,Long Island City,552,3,4,17,90,0,1,1,0.34,953688
Queens,Long Island City,2876,3,4,42,96,1,0,1,0.97,1979794
Bronx,Norwood,907,0,1,47,51,1,1,0,0.3,992590
Bronx,Mott Haven,890,4,3,29,19,0,0,1,1.22,835036
Manhattan,Upper East Side,744,2,1,6,39,1,0,1,2.12,1564829
Manhattan,SoHo,2335,1,3,17,58,1,1,0,0.75,2365417
Brooklyn,DUMBO,2161,4,4,17,76,0,0,0,1.94,1471640
Manhattan,SoHo,620,0,1,14,13,0,0,1,0.54,1490943
Queens,Jamaica,2338,3,2,24,43,0,0,1,1.72,2054033
Bronx,South Bronx,2342,1,3,37,85,1,0,1,2.3,1785747
Manhattan,SoHo,1122,2,2,40,81,0,0,0,0.88,1865238
Manhattan,Upper East Side,3496,4,3,39,47,0,0,0,2.26,2395077
Brooklyn,Park Slope,927,5,1,32,92,1,1,1,1.31,1181980
Brooklyn,Bay Ridge,1922,4,2,36,42,0,1,1,0.86,1764407
Queens,Long Island City,3288,1,1,37,15,0,1,0,2.25,1637772
Bronx,Pelham Bay,2064,0,3,48,34,1,1,0,0.18,1419940
Brooklyn,Park Slope,880,2,3,14,52,0,0,0,0.17,1247778
Manhattan,Midtown,3377,1,3,27,33,1,0,0,1.54,2287637
Bronx,South Bronx,2271,3,3,19,2,0,1,1,2.01,1200008
Bronx,Norwood,3319,2,4,31,67,0,0,0,1.9,1280556
Manhattan,Midtown,1862,4,3,46,4,1,1,0,0.29,2402973
Brooklyn,Bay Ridge,1825,1,2,9,9,0,0,1,2.38,1430482
Manhattan,Harlem,744,4,3,38,51,1,0,0,1.79,1705546
Bronx,South Bronx,444,4,1,17,28,0,1,1,2.38,648432
Staten Island,Stapleton,2468,4,4,19,95,0,0,0,0.89,1124224
Staten Island,Stapleton,2057,0,2,44,30,1,1,1,1.77,1893987
Queens,Astoria,2287,4,4,4,65,1,1,0,2.16,1409095
Manhattan,SoHo,3320,3,4,48,75,0,1,1,1.01,3204971
Manhattan,Harlem,2495,3,4,11,90,0,0,1,2.42,2159537
Queens,Astoria,1914,2,1,22,68,0,0,0,0.74,1583144
Queens,Forest Hills,2998,5,4,4,36,1,1,1,0.86,1664844
Queens,Astoria,2734,4,4,17,26,1,0,1,2.31,1510694
Bronx,Mott Haven,1401,4,3,8,86,0,1,0,2.43,1163054
Manhattan,Midtown,1433,1,1,46,32,0,1,1,0.78,1638815
Bronx,Mott Haven,2989,0,2,34,67,0,0,1,0.43,1948403
Queens,Long Island City,2440,5,2,11,58,1,1,0,1.92,1430389
Manhattan,Chelsea,3203,2,2,31,63,0,0,0,2.33,2933854
Bronx,Pelham Bay,673,5,1,11,84,1,0,1,1.54,817900
Bronx,Fordham,1355,4,2,38,87,1,0,1,1.62,1388802
Queens,Astoria,3047,1,1,21,43,0,1,1,1.93,1656255
Manhattan,Financial District,2179,0,3,46,94,1,1,1,0.47,2119895
Queens,Jamaica,780,2,3,30,87,1,0,1,2.44,1192575
Manhattan,Upper East Side,1752,5,1,10,48,0,0,0,0.97,2143922
Staten Island,St. George,878,2,2,26,52,0,1,1,1.61,718847
Brooklyn,Park Slope,2462,4,1,27,73,0,0,0,1.22,1786046
Brooklyn,Bay Ridge,915,2,1,8,48,0,0,0,1.22,1054940
Brooklyn,Bay Ridge,590,1,4,39,65,0,1,0,1.79,1207800
Queens,Forest Hills,1591,2,1,8,94,0,1,0,2.49,843813
Staten Island,Annadale,3068,3,4,8,62,0,1,1,1.68,1825162
Manhattan,SoHo,1560,1,3,34,24,1,0,1,2.01,2093448
Bronx,South Bronx,2601,5,4,16,3,0,1,1,0.17,2054636
Manhattan,Harlem,1811,0,1,41,50,0,1,0,2.05,2181644
Bronx,South Bronx,671,0,3,13,10,0,1,0,0.82,623129
Manhattan,SoHo,542,4,4,23,16,0,1,1,0.4,1625420
Staten Island,Tottenville,2312,4,1,12,65,0,1,0,0.37,1953721
Bronx,Mott Haven,1492,3,3,27,69,0,1,1,1.73,1176456
Queens,Long Island City,2694,5,4,22,72,1,1,0,2.49,2200013
Manhattan,Upper East Side,1187,0,1,32,68,0,0,0,1.7,1881074
Manhattan,Chelsea,2526,0,1,49,83,1,1,0,0.73,2089394
Bronx,Mott Haven,2081,0,2,27,28,0,0,0,0.59,1456699
Queens,Jamaica,1022,0,2,2,84,1,0,0,1.36,780266
Queens,Jamaica,2972,2,4,45,72,1,1,0,0.26,1773587
Staten Island,Annadale,3219,5,4,33,91,1,0,0,1.06,2553349
Queens,Flushing,1337,1,4,26,71,0,1,1,1.7,910563
Queens,Astoria,1518,1,1,28,94,0,0,1,2.42,1180942
Queens,Flushing,1016,3,4,19,19,0,1,0,1.12,1023378
Brooklyn,Park Slope,1431,2,1,43,26,0,0,0,0.58,1287709
Staten Island,Tottenville,466,0,4,5,7,0,1,1,2.06,669626
Manhattan,SoHo,590,0,1,33,84,0,1,0,1.89,1282968
Bronx,Pelham Bay,3215,4,1,20,60,1,0,1,2.16,1320334
Manhattan,Upper East Side,920,4,2,30,27,1,0,1,0.62,1835556
Staten Island,Stapleton,1389,3,3,45,86,1,1,1,1.07,1071242
Bronx,Riverdale,1540,0,1,8,69,0,0,1,2.46,634155
Staten Island,New Dorp,2714,3,4,38,2,0,1,1,0.48,2023542
Queens,Forest Hills,2034,2,2,17,68,1,0,0,1.71,1326587
Bronx,Riverdale,2932,1,4,44,72,0,1,0,0.67,2061832
Queens,Jamaica,1587,0,4,1,6,0,0,1,1.3,1065272
Manhattan,SoHo,775,5,1,3,59,0,1,0,2.02,1470761
Manhattan,SoHo,1052,2,1,46,3,1,0,1,1.27,1607066
Bronx,South Bronx,948,0,3,26,4,1,1,0,2.03,743375
Bronx,Norwood,1497,5,1,31,10,0,0,0,1.12,1518622
Staten Island,New Dorp,472,4,1,8,14,1,1,0,2.5,675309
Staten Island,New Dorp,2755,3,3,43,63,1,0,0,1.15,1191557
Queens,Astoria,598,4,4,46,97,0,0,0,0.46,1081201
Bronx,Fordham,2181,1,3,8,12,0,1,0,1.06,1401412
Manhattan,Midtown,971,4,3,35,6,1,0,0,1.88,1643226
Staten Island,Annadale,1190,0,3,39,5,1,0,0,2.14,1234403
Staten Island,New Dorp,2038,5,2,28,55,0,1,1,1.2,1092550
Manhattan,Chelsea,2231,4,4,4,63,0,1,1,1.53,2404483
Staten Island,New Dorp,2255,0,2,16,49,0,1,0,2.13,907935
Queens,Jamaica,1910,1,2,13,29,1,1,0,2.05,1514245
Bronx,Mott Haven,1574,5,1,20,21,1,0,0,1.68,1219939
Manhattan,Harlem,578,4,3,5,24,0,0,1,2.06,1481421
Bronx,Fordham,2644,3,3,37,27,0,0,0,1.48,1797837
Staten Island,St. George,1134,3,2,20,83,0,1,0,0.11,1106823
Staten Island,Annadale,2536,5,1,24,38,0,0,1,0.2,1910981
Manhattan,Midtown,1198,3,1,36,66,1,0,1,2.45,2018646
Queens,Jackson Heights,1187,4,1,34,4,0,1,1,0.45,1359771
Brooklyn,Park Slope,3195,4,4,45,64,0,0,0,1.07,2215590
Manhattan,Upper East Side,608,5,2,48,14,1,0,1,2.34,1680774
Brooklyn,Bushwick,892,4,4,34,89,0,1,0,0.57,1231359
Brooklyn,Bay Ridge,3112,0,1,19,66,1,0,1,2.13,1838388
Queens,Forest Hills,3484,1,1,17,39,1,1,0,2.06,2080889
Brooklyn,Bushwick,2057,3,1,5,97,1,1,0,2.47,1540924
Brooklyn,Park Slope,3318,0,3,25,68,0,0,0,0.78,2685245
Queens,Jackson Heights,1131,5,2,18,94,1,0,1,0.86,1040295
Brooklyn,Park Slope,1529,3,3,8,76,0,0,0,2.27,1002962
Brooklyn,Bushwick,2005,0,4,27,42,1,1,0,0.66,1731935
Brooklyn,Bay Ridge,3145,4,3,15,0,1,1,0,1.41,2641961
Manhattan,Financial District,993,5,2,45,21,1,0,1,1.8,2017231
Manhattan,Chelsea,3333,5,3,13,61,0,0,0,0.75,3040391
Manhattan,SoHo,3299,3,1,16,78,0,1,0,2.35,2987501
Queens,Jackson Heights,1615,4,4,22,25,1,0,0,1.7,1487233
Staten Island,Tottenville,724,3,4,20,17,0,0,0,0.21,943770
Brooklyn,DUMBO,1378,2,1,13,47,1,1,1,0.43,1492417
Brooklyn,Flatbush,2149,0,1,20,8,1,0,0,0.56,1546778
Queens,Flushing,2250,2,1,2,0,1,0,1,0.69,1485883
Brooklyn,Bushwick,3403,0,2,35,8,1,0,1,1.85,2733929
Manhattan,SoHo,1890,1,3,47,22,0,0,0,0.31,2335888
Staten Island,Stapleton,1293,5,4,19,44,1,1,1,0.94,1447207
Bronx,Riverdale,1790,3,3,45,1,0,1,1,2.29,1666500
Brooklyn,Park Slope,543,1,1,37,13,1,1,1,1.44,1065732
Manhattan,Harlem,783,1,1,6,37,1,1,0,0.74,1735481
Bronx,Fordham,2663,5,3,14,39,1,0,1,2.4,1136188
Staten Island,Tottenville,2771,5,4,4,62,1,0,1,0.69,1989116
Bronx,Fordham,3486,0,2,22,81,1,0,0,2.27,1237976
Manhattan,Midtown,616,2,3,39,15,0,0,0,1.84,1430130
Bronx,Fordham,1915,4,1,36,92,0,1,1,1.88,1625559
Queens,Flushing,3398,0,1,34,74,1,0,1,1.94,1619454
Bronx,Mott Haven,2630,4,2,27,5,0,0,1,1.32,1876135
Brooklyn,Park Slope,2717,1,3,7,2,0,1,0,2.05,1552667
Brooklyn,Park Slope,3392,4,2,3,13,1,1,1,2.11,1619019
Queens,Jackson Heights,1890,2,2,47,65,1,1,0,0.97,1295013
Manhattan,SoHo,3317,0,4,33,95,1,0,1,1.06,2784270
Brooklyn,Williamsburg,2035,5,4,2,94,1,1,1,2.23,1520905
Staten Island,Stapleton,2914,2,1,42,74,0,0,0,1.36,1334500
Brooklyn,Williamsburg,2752,2,3,16,85,0,0,1,2.18,2116629
Brooklyn,Bay Ridge,1567,0,4,25,66,0,1,0,1.6,1047496
Manhattan,Chelsea,510,5,1,15,30,0,1,1,1.52,1536961
Bronx,Pelham Bay,1413,2,3,24,32,1,1,0,0.17,1403726
Brooklyn,Williamsburg,631,5,1,15,87,1,0,0,0.77,1076583
Queens,Long Island City,2114,3,4,31,0,1,0,1,1.3,1722288
Bronx,Pelham Bay,2155,3,1,14,43,1,0,0,1.51,1432851
Staten Island,Great Kills,3042,3,3,14,14,0,1,1,1.61,2150054
Manhattan,Midtown,1977,4,3,6,36,0,0,0,1.82,2256251
Staten Island,St. George,1696,2,1,14,26,1,0,0,1.67,1615455
Bronx,South Bronx,2620,0,3,17,47,0,0,0,2.14,969989
Bronx,South Bronx,1372,0,1,18,26,0,0,1,0.81,1284335
Bronx,Fordham,1430,4,3,20,11,1,1,0,1.64,1368446
Staten Island,Great Kills,2993,0,1,17,66,0,0,0,0.22,1988594
Bronx,Riverdale,2995,3,1,16,29,1,1,0,1.25,1618523
Staten Island,Tottenville,917,2,1,40,95,0,1,1,0.74,1116421
Bronx,Pelham Bay,1313,0,2,39,86,0,0,1,1.01,757344
Queens,Forest Hills,2662,0,3,32,65,1,0,0,0.95,2098931
Bronx,Riverdale,2581,1,4,44,6,1,1,0,0.25,1364152
Staten Island,Great Kills,2732,1,1,9,33,1,0,1,1.22,1985380
Brooklyn,DUMBO,2344,1,2,27,31,0,1,0,2.49,1876406
Bronx,South Bronx,1862,2,4,46,38,1,0,0,0.82,1091794
Brooklyn,Williamsburg,2272,3,1,33,95,0,0,0,1.87,1951698
Queens,Jackson Heights,3133,5,4,10,42,1,1,0,1.41,2020069
Manhattan,Financial District,2778,3,2,17,42,0,0,0,0.88,2613115
Queens,Jamaica,3341,3,4,49,77,1,1,0,0.32,1942447
Bronx,Mott Haven,1707,2,1,49,2,1,1,1,0.62,1486004
Brooklyn,Williamsburg,1298,2,4,36,45,0,0,0,1.98,1354000
Brooklyn,Park Slope,1498,1,4,17,31,0,1,0,0.77,1385776
Staten Island,Stapleton,1589,0,1,18,42,1,0,1,0.45,1249173
Brooklyn,DUMBO,1612,4,2,23,99,0,0,1,0.9,1616767
Staten Island,St. George,2525,4,2,34,80,1,0,1,1.5,1757354
Manhattan,Financial District,3394,5,4,8,2,0,1,1,1.79,2588841
